t,aggregate_A_t
768,0.5006666666666667
769,0.499
770,0.495
771,0.489
772,0.498
773,0.49766666666666665
774,0.48333333333333334
775,0.469
776,0.467
777,0.4683333333333333
778,0.48933333333333334
779,0.49966666666666665
780,0.5043333333333333
781,0.48433333333333334
782,0.49466666666666664
783,0.5043333333333333
784,0.5136666666666667
785,0.5106666666666667
786,0.48
787,0.4876666666666667
788,0.47833333333333333
789,0.4856666666666667
790,0.5033333333333333
791,0.5096666666666667
792,0.5066666666666667
793,0.5033333333333333
794,0.5043333333333333
795,0.48966666666666664
796,0.5006666666666667
797,0.49933333333333335
798,0.5166666666666667
799,0.5146666666666667
800,0.506
801,0.5146666666666667
802,0.508
803,0.499
804,0.498
805,0.5073333333333333
806,0.49866666666666665
807,0.5103333333333333
808,0.5283333333333333
809,0.5076666666666667
810,0.5116666666666667
811,0.501
812,0.5096666666666667
813,0.5003333333333333
814,0.49133333333333334
815,0.4866666666666667
816,0.493
817,0.49166666666666664
818,0.48633333333333334
819,0.4786666666666667
820,0.47
821,0.483
822,0.494
823,0.5116666666666667
824,0.5013333333333333
825,0.5083333333333333
826,0.5163333333333333
827,0.5026666666666667
828,0.5183333333333333
829,0.5196666666666667
830,0.496
831,0.5053333333333333
832,0.5153333333333333
833,0.5166666666666667
834,0.5106666666666667
835,0.5046666666666667
836,0.5016666666666667
837,0.491
838,0.497
839,0.494
840,0.5103333333333333
841,0.49966666666666665
842,0.5023333333333333
843,0.509
844,0.506
845,0.509
846,0.503
847,0.5023333333333333
848,0.5123333333333333
849,0.5146666666666667
850,0.505
851,0.5166666666666667
852,0.5126666666666667
853,0.49933333333333335
854,0.47833333333333333
855,0.5026666666666667
856,0.49
857,0.49233333333333335
858,0.4786666666666667
859,0.484
860,0.49833333333333335
861,0.5253333333333333
862,0.5103333333333333
863,0.5013333333333333
864,0.5046666666666667
865,0.48833333333333334
866,0.49066666666666664
867,0.494
868,0.5
869,0.5026666666666667
870,0.49533333333333335
871,0.48133333333333334
872,0.49466666666666664
873,0.49533333333333335
874,0.49633333333333335
875,0.49966666666666665
876,0.5053333333333333
877,0.5056666666666667
878,0.502
879,0.4876666666666667
880,0.4806666666666667
881,0.4856666666666667
882,0.471
883,0.463
884,0.482
885,0.494
886,0.49833333333333335
887,0.507
888,0.5
889,0.49233333333333335
890,0.48966666666666664
891,0.497
892,0.49933333333333335
893,0.498
894,0.49966666666666665
895,0.48633333333333334
896,0.495
897,0.5083333333333333
898,0.5033333333333333
899,0.502
900,0.49
901,0.502
902,0.5023333333333333
903,0.49833333333333335
904,0.49766666666666665
905,0.5016666666666667
906,0.509
907,0.499
908,0.49933333333333335
909,0.5083333333333333
910,0.49866666666666665
911,0.5023333333333333
912,0.49333333333333335
913,0.477
914,0.4766666666666667
915,0.5016666666666667
916,0.49533333333333335
917,0.49966666666666665
918,0.49733333333333335
919,0.5036666666666667
920,0.5
921,0.5083333333333333
922,0.5056666666666667
923,0.499
924,0.5073333333333333
925,0.5093333333333333
926,0.5073333333333333
927,0.504
928,0.5106666666666667
929,0.513
930,0.5023333333333333
931,0.5003333333333333
932,0.5063333333333333
933,0.49966666666666665
934,0.49833333333333335
935,0.49533333333333335
936,0.49166666666666664
937,0.49533333333333335
938,0.5016666666666667
939,0.5083333333333333
940,0.49766666666666665
941,0.5093333333333333
942,0.5156666666666667
943,0.518
944,0.49666666666666665
945,0.48233333333333334
946,0.49366666666666664
947,0.4716666666666667
948,0.48133333333333334
949,0.48033333333333333
950,0.49033333333333334
951,0.48933333333333334
952,0.497
953,0.48333333333333334
954,0.5096666666666667
955,0.512
956,0.49
957,0.488
958,0.499
959,0.49433333333333335
960,0.514
961,0.5186666666666667
962,0.5136666666666667
963,0.501
964,0.5046666666666667
965,0.506
966,0.494
967,0.495
968,0.49433333333333335
969,0.5073333333333333
970,0.499
971,0.5213333333333333
972,0.51
973,0.5013333333333333
974,0.5033333333333333
975,0.49433333333333335
976,0.49366666666666664
977,0.49666666666666665
978,0.49933333333333335
979,0.49866666666666665
980,0.4796666666666667
981,0.4796666666666667
982,0.49766666666666665
983,0.48833333333333334
984,0.48233333333333334
985,0.497
986,0.484
987,0.49033333333333334
988,0.4876666666666667
989,0.489
990,0.495
991,0.48833333333333334
992,0.49366666666666664
993,0.514
994,0.5083333333333333
995,0.508
996,0.5063333333333333
997,0.49866666666666665
998,0.5033333333333333
999,0.49333333333333335
1000,0.495
1001,0.49533333333333335
1002,0.4816666666666667
1003,0.4846666666666667
1004,0.48533333333333334
1005,0.49066666666666664
1006,0.4716666666666667
1007,0.4766666666666667
1008,0.4776666666666667
1009,0.49533333333333335
1010,0.502
1011,0.496
1012,0.49466666666666664
1013,0.5033333333333333
1014,0.511
1015,0.5063333333333333
1016,0.5196666666666667
1017,0.51
1018,0.507
1019,0.509
1020,0.5096666666666667
1021,0.5123333333333333
1022,0.508
1023,0.5036666666666667
1024,0.514
1025,0.5063333333333333
1026,0.49633333333333335
1027,0.4886666666666667
1028,0.512
1029,0.5123333333333333
1030,0.5003333333333333
1031,0.5073333333333333
1032,0.5106666666666667
1033,0.49666666666666665
1034,0.489
1035,0.49633333333333335
1036,0.5
1037,0.49933333333333335
1038,0.5
1039,0.5066666666666667
1040,0.512
1041,0.493
1042,0.481
1043,0.4836666666666667
1044,0.49866666666666665
1045,0.5186666666666667
1046,0.504
1047,0.5076666666666667
1048,0.48633333333333334
1049,0.494
1050,0.4846666666666667
1051,0.49033333333333334
1052,0.49333333333333335
1053,0.4806666666666667
1054,0.4806666666666667
1055,0.49666666666666665
1056,0.49666666666666665
1057,0.5056666666666667
1058,0.5223333333333333
1059,0.5223333333333333
1060,0.5126666666666667
1061,0.5206666666666667
1062,0.51
1063,0.511
1064,0.48966666666666664
1065,0.502
1066,0.502
1067,0.49133333333333334
1068,0.503
1069,0.5093333333333333
1070,0.5056666666666667
1071,0.49066666666666664
1072,0.482
1073,0.5023333333333333
1074,0.508
1075,0.4886666666666667
1076,0.485
1077,0.48833333333333334
1078,0.48
1079,0.48833333333333334
1080,0.5013333333333333
1081,0.526
1082,0.526
1083,0.5343333333333333
1084,0.5266666666666666
1085,0.518
1086,0.515
1087,0.5086666666666667
1088,0.48233333333333334
1089,0.49666666666666665
1090,0.5116666666666667
1091,0.512
1092,0.5026666666666667
1093,0.512
1094,0.5026666666666667
1095,0.5013333333333333
1096,0.507
1097,0.5096666666666667
1098,0.5046666666666667
1099,0.498
1100,0.48833333333333334
1101,0.507
1102,0.5113333333333333
1103,0.5106666666666667
1104,0.49666666666666665
1105,0.508
1106,0.5146666666666667
1107,0.5046666666666667
1108,0.499
1109,0.5003333333333333
1110,0.5056666666666667
1111,0.5006666666666667
1112,0.4876666666666667
1113,0.49033333333333334
1114,0.49833333333333335
1115,0.49233333333333335
1116,0.5003333333333333
1117,0.492
1118,0.5013333333333333
1119,0.5073333333333333
1120,0.5063333333333333
1121,0.5076666666666667
1122,0.492
1123,0.5063333333333333
1124,0.5123333333333333
1125,0.5076666666666667
1126,0.5273333333333333
1127,0.5113333333333333
1128,0.506
1129,0.5156666666666667
1130,0.511
1131,0.497
1132,0.51
1133,0.49833333333333335
1134,0.491
1135,0.492
1136,0.506
1137,0.5046666666666667
1138,0.492
1139,0.5043333333333333
1140,0.522
1141,0.5023333333333333
1142,0.5213333333333333
1143,0.515
1144,0.5226666666666666
1145,0.5113333333333333
1146,0.5066666666666667
1147,0.515
1148,0.5226666666666666
1149,0.5113333333333333
1150,0.5083333333333333
1151,0.4756666666666667
1152,0.48833333333333334
1153,0.478
1154,0.47933333333333333
1155,0.476
1156,0.49033333333333334
1157,0.48933333333333334
1158,0.49166666666666664
1159,0.481
1160,0.492
1161,0.503
1162,0.5076666666666667
1163,0.5073333333333333
1164,0.49266666666666664
1165,0.492
1166,0.483
1167,0.49066666666666664
1168,0.48933333333333334
1169,0.48633333333333334
1170,0.49733333333333335
1171,0.5116666666666667
1172,0.5003333333333333
1173,0.5106666666666667
1174,0.5033333333333333
1175,0.51
1176,0.49866666666666665
1177,0.5216666666666666
1178,0.5156666666666667
1179,0.5076666666666667
1180,0.511
1181,0.5043333333333333
1182,0.49933333333333335
1183,0.49866666666666665
1184,0.498
1185,0.501
1186,0.504
1187,0.5126666666666667
1188,0.5066666666666667
1189,0.5013333333333333
1190,0.499
1191,0.5013333333333333
1192,0.491
1193,0.49033333333333334
1194,0.49
1195,0.49566666666666664
1196,0.48966666666666664
1197,0.5083333333333333
1198,0.507
1199,0.5126666666666667
1200,0.502
1201,0.49566666666666664
1202,0.498
1203,0.48533333333333334
1204,0.48133333333333334
1205,0.48133333333333334
1206,0.5016666666666667
1207,0.5036666666666667
1208,0.487
1209,0.47733333333333333
1210,0.47933333333333333
1211,0.479
1212,0.5006666666666667
1213,0.5043333333333333
1214,0.5033333333333333
1215,0.5043333333333333
1216,0.5106666666666667
1217,0.5
1218,0.501
1219,0.5223333333333333
1220,0.5166666666666667
1221,0.5103333333333333
1222,0.5186666666666667
1223,0.51
1224,0.5066666666666667
1225,0.5013333333333333
1226,0.49233333333333335
1227,0.4826666666666667
1228,0.497
1229,0.49566666666666664
1230,0.49166666666666664
1231,0.51
1232,0.5156666666666667
1233,0.5076666666666667
1234,0.5153333333333333
1235,0.49933333333333335
1236,0.48333333333333334
1237,0.496
1238,0.5076666666666667
1239,0.49366666666666664
1240,0.49266666666666664
1241,0.491
1242,0.49933333333333335
1243,0.514
1244,0.5016666666666667
1245,0.49733333333333335
1246,0.48033333333333333
1247,0.494
1248,0.495
1249,0.5073333333333333
1250,0.503
1251,0.5013333333333333
1252,0.504
1253,0.5133333333333333
1254,0.5033333333333333
1255,0.5003333333333333
1256,0.5103333333333333
1257,0.5073333333333333
1258,0.49966666666666665
1259,0.5066666666666667
1260,0.51
1261,0.5116666666666667
1262,0.5053333333333333
1263,0.5026666666666667
1264,0.5046666666666667
1265,0.5143333333333333
1266,0.5083333333333333
1267,0.5013333333333333
1268,0.492
1269,0.49166666666666664
1270,0.5
1271,0.4866666666666667
1272,0.49
1273,0.49933333333333335
1274,0.494
1275,0.49566666666666664
1276,0.495
1277,0.49433333333333335
1278,0.49333333333333335
1279,0.5023333333333333
1280,0.49866666666666665
1281,0.5046666666666667
1282,0.514
1283,0.5106666666666667
1284,0.518
1285,0.508
1286,0.49033333333333334
1287,0.504
1288,0.498
1289,0.49866666666666665
1290,0.49933333333333335
1291,0.4856666666666667
1292,0.49066666666666664
1293,0.505
1294,0.494
1295,0.5133333333333333
1296,0.518
1297,0.49433333333333335
1298,0.4866666666666667
1299,0.486
1300,0.496
1301,0.49466666666666664
1302,0.48933333333333334
1303,0.494
1304,0.508
1305,0.49833333333333335
1306,0.496
1307,0.4876666666666667
1308,0.5056666666666667
1309,0.5173333333333333
1310,0.514
1311,0.504
1312,0.501
1313,0.488
1314,0.492
1315,0.4816666666666667
1316,0.499
1317,0.5016666666666667
1318,0.49033333333333334
1319,0.49866666666666665
1320,0.5076666666666667
1321,0.5016666666666667
1322,0.49633333333333335
1323,0.515
1324,0.513
1325,0.49866666666666665
1326,0.49933333333333335
1327,0.4876666666666667
1328,0.503
1329,0.5023333333333333
1330,0.505
1331,0.5066666666666667
1332,0.5073333333333333
1333,0.497
1334,0.49433333333333335
1335,0.48233333333333334
1336,0.4886666666666667
1337,0.508
1338,0.49933333333333335
1339,0.488
1340,0.4876666666666667
1341,0.489
1342,0.48033333333333333
1343,0.495
1344,0.494
1345,0.49666666666666665
1346,0.4726666666666667
1347,0.49366666666666664
1348,0.49766666666666665
1349,0.5066666666666667
1350,0.511
1351,0.49433333333333335
1352,0.5073333333333333
1353,0.497
1354,0.4866666666666667
1355,0.49466666666666664
1356,0.5036666666666667
1357,0.5036666666666667
1358,0.506
1359,0.501
1360,0.5053333333333333
1361,0.512
1362,0.505
1363,0.5023333333333333
1364,0.49666666666666665
1365,0.512
1366,0.5083333333333333
1367,0.515
1368,0.501
1369,0.5126666666666667
1370,0.487
1371,0.496
1372,0.5003333333333333
1373,0.502
1374,0.505
1375,0.5106666666666667
1376,0.5006666666666667
1377,0.49
1378,0.48966666666666664
1379,0.494
1380,0.49566666666666664
1381,0.49633333333333335
1382,0.494
1383,0.48966666666666664
1384,0.48933333333333334
1385,0.49033333333333334
1386,0.49366666666666664
1387,0.506
1388,0.5096666666666667
1389,0.499
1390,0.4816666666666667
1391,0.47533333333333333
1392,0.49333333333333335
1393,0.5006666666666667
1394,0.49133333333333334
1395,0.48533333333333334
1396,0.48333333333333334
1397,0.49333333333333335
1398,0.49033333333333334
1399,0.49666666666666665
1400,0.493
1401,0.49333333333333335
1402,0.49066666666666664
1403,0.49266666666666664
1404,0.49966666666666665
1405,0.49233333333333335
1406,0.49433333333333335
1407,0.49466666666666664
1408,0.485
1409,0.477
1410,0.482
1411,0.49866666666666665
1412,0.496
1413,0.489
1414,0.49433333333333335
1415,0.47733333333333333
1416,0.48333333333333334
1417,0.48966666666666664
1418,0.5023333333333333
1419,0.496
1420,0.49566666666666664
1421,0.49933333333333335
1422,0.506
1423,0.513
1424,0.5123333333333333
1425,0.5233333333333333
1426,0.5063333333333333
1427,0.508
1428,0.5153333333333333
1429,0.515
1430,0.5073333333333333
1431,0.498
1432,0.5046666666666667
1433,0.5046666666666667
1434,0.49033333333333334
1435,0.499
1436,0.508
1437,0.513
1438,0.5286666666666666
1439,0.515
1440,0.5043333333333333
1441,0.5086666666666667
1442,0.5196666666666667
1443,0.5153333333333333
1444,0.5016666666666667
1445,0.5043333333333333
1446,0.49633333333333335
1447,0.49566666666666664
1448,0.48966666666666664
1449,0.48333333333333334
1450,0.4876666666666667
1451,0.495
1452,0.508
1453,0.5033333333333333
1454,0.4886666666666667
1455,0.495
1456,0.505
1457,0.48733333333333334
1458,0.5026666666666667
1459,0.53
1460,0.5273333333333333
1461,0.5196666666666667
1462,0.511
1463,0.496
1464,0.48533333333333334
1465,0.494
1466,0.4816666666666667
1467,0.488
1468,0.497
1469,0.49966666666666665
1470,0.49566666666666664
1471,0.49466666666666664
1472,0.49333333333333335
1473,0.502
1474,0.49733333333333335
1475,0.48433333333333334
1476,0.49733333333333335
1477,0.5133333333333333
1478,0.5013333333333333
1479,0.494
1480,0.484
1481,0.49233333333333335
1482,0.5106666666666667
1483,0.5133333333333333
1484,0.5143333333333333
1485,0.49766666666666665
1486,0.497
1487,0.506
1488,0.498
1489,0.5056666666666667
1490,0.501
1491,0.5096666666666667
1492,0.492
1493,0.49066666666666664
1494,0.48733333333333334
1495,0.486
1496,0.494
1497,0.502
1498,0.5143333333333333
1499,0.5113333333333333
